x,y,C10,C01,C20,invD,ux,uy,group_id
0.017408878,0.5006013,0.6,1.1,0.8,1.6,0.054195993,0.59657323,0
0.01774844,0.9474883,0.6,1.1,0.8,1.6,0.019932743,0.9583162,0
0.018049037,0.92907643,0.6,1.1,0.8,1.6,0.02442187,0.9440368,0
0.018053936,0.75154173,0.6,1.1,0.8,1.6,0.046422992,0.80892396,0
0.018473404,0.32211328,0.6,1.1,0.8,1.6,0.07616174,0.40307343,0
0.01848785,0.8416376,0.6,1.1,0.8,1.6,0.03843773,0.8775833,0
0.018515453,0.5820858,0.6,1.1,0.8,1.6,0.05142892,0.67147565,0
0.018557124,0.33146948,0.6,1.1,0.8,1.6,0.07552669,0.41444752,0
0.018753668,0.919506,0.6,1.1,0.8,1.6,0.026408298,0.9367318,0
0.018847752,0.572518,0.6,1.1,0.8,1.6,0.051506683,0.6630892,0
0.01885065,0.76066726,0.6,1.1,0.8,1.6,0.04573947,0.8159784,0
0.018893644,0.22174196,0.6,1.1,0.8,1.6,0.069461726,0.275339,0
0.018895421,0.8511803,0.6,1.1,0.8,1.6,0.037257187,0.884829,0
0.01895425,0.50947905,0.6,1.1,0.8,1.6,0.05345135,0.6052414,0
0.018997902,0.31267446,0.6,1.1,0.8,1.6,0.07655141,0.3915025,0
0.019002015,0.4122902,0.6,1.1,0.8,1.6,0.064929314,0.50664794,0
0.019060425,0.23127453,0.6,1.1,0.8,1.6,0.0711795,0.2877049,0
0.019203609,0.601168,0.6,1.1,0.8,1.6,0.05117198,0.6879842,0
0.019299809,0.08162415,0.6,1.1,0.8,1.6,0.02866415,0.099689126,0
0.019386992,0.24080178,0.6,1.1,0.8,1.6,0.0726537,0.3000652,0
0.019391853,0.09127715,0.6,1.1,0.8,1.6,0.03162915,0.111474544,0
0.019431744,0.35061926,0.6,1.1,0.8,1.6,0.07364688,0.4373513,0
0.01950972,0.9688672,0.6,1.1,0.8,1.6,0.013270344,0.97532415,0
0.019583572,0.43133917,0.6,1.1,0.8,1.6,0.061904427,0.52696365,0
0.019631673,0.6806383,0.6,1.1,0.8,1.6,0.04966023,0.7534632,0
0.019658145,0.8130603,0.6,1.1,0.8,1.6,0.041355368,0.8559965,0
0.019720837,0.9095102,0.6,1.1,0.8,1.6,0.028288014,0.92915684,0
0.019727198,0.1009369,0.6,1.1,0.8,1.6,0.034633506,0.12324875,0
0.019794546,0.6107675,0.6,1.1,0.8,1.6,0.051018383,0.69616866,0
0.01996106,0.360366,0.6,1.1,0.8,1.6,0.07245137,0.4487806,0
0.019963264,0.16318972,0.6,1.1,0.8,1.6,0.054537572,0.20035605,0
0.01998495,0.97903305,0.6,1.1,0.8,1.6,0.00949982,0.9834302,0
0.02,0.0,0.6,1.1,0.8,1.6,2.3988433e-38,4.4722429999999996e-38,0
0.02,1.0,0.6,1.1,0.8,1.6,1.6431536e-38,1.0,0
0.02011162,0.77011734,0.6,1.1,0.8,1.6,0.0449473,0.823288,0
0.020185748,0.11061968,0.6,1.1,0.8,1.6,0.037686333,0.13505381,0
0.020205209,0.989372,0.6,1.1,0.8,1.6,0.0051549487,0.99165285,0
0.02022555,0.19273852,0.6,1.1,0.8,1.6,0.06278987,0.2378928,0
0.020233808,0.25994343,0.6,1.1,0.8,1.6,0.07490422,0.3248579,0
0.020285934,0.9576702,0.6,1.1,0.8,1.6,0.01680078,0.96653056,0
0.020329185,0.40256354,0.6,1.1,0.8,1.6,0.066320464,0.49626943,0
0.020668974,0.5189309,0.6,1.1,0.8,1.6,0.052756708,0.61433506,0
0.020709164,0.37030393,0.6,1.1,0.8,1.6,0.07107672,0.4602999,0
0.020827457,0.019886067,0.6,1.1,0.8,1.6,0.009416174,0.024029223,0
0.0208458,0.18305531,0.6,1.1,0.8,1.6,0.060164526,0.22542076,0
0.020876653,0.26964992,0.6,1.1,0.8,1.6,0.07566561,0.33739138,0
0.020934504,0.15317717,0.6,1.1,0.8,1.6,0.05134174,0.18766055,0
0.020985186,0.120441906,0.6,1.1,0.8,1.6,0.04078286,0.14701985,0
0.021042531,0.44123402,0.6,1.1,0.8,1.6,0.060284443,0.5374653,0
0.021226041,0.6904017,0.6,1.1,0.8,1.6,0.049172036,0.76129603,0
0.021320531,0.88173217,0.6,1.1,0.8,1.6,0.032836925,0.9081326,0
0.021503069,0.6306169,0.6,1.1,0.8,1.6,0.050609197,0.7128577,0
0.021571957,0.8032733,0.6,1.1,0.8,1.6,0.042090632,0.8486604,0
0.0217123,0.030011471,0.6,1.1,0.8,1.6,0.012893484,0.036346674,0
0.021990221,0.27984545,0.6,1.1,0.8,1.6,0.07615221,0.3504339,0
0.022037156,0.55296075,0.6,1.1,0.8,1.6,0.05150086,0.6458088,0
0.022173237,0.13060674,0.6,1.1,0.8,1.6,0.043958995,0.15939006,0
0.022766396,0.52931356,0.6,1.1,0.8,1.6,0.052082933,0.6242033,0
0.023007814,0.4742001,0.6,1.1,0.8,1.6,0.055920746,0.57117426,0
0.02304317,0.6419269,0.6,1.1,0.8,1.6,0.05027788,0.7222566,0
